All,Sve
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} se ne preporučuje za korišćenje u proizvodnom okruženju za opis osnovnog Nesigurnog URL/ Sigurnosnog URL. Zbog toga se preporučuje promena ove vrednosti u vaš Magento <a href=""%1"">konfiguraciju</a>."
"One or more of the Cache Types are invalidated: %1. ","Jedan ili više tipova keša su poništeni: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Idite na <a href=""%1"">za upravljanje kešom</a> i osvežite tipove keša."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nije bilo moguće sinhronizovati jednu ili više medijskih datoteka. Pogledajte dnevnik evidencije za detalje."
"Synchronization of media storages has been completed.","Sinhronizacija skladišta medija je dovršeno."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Vaš web server je neispravno podešen i omogućava neovlašćeni pristup osetljivim datotekama. Molimo vas da kontaktirate vašeg provajdera."
"System Messages:","Sistemske poruke:"
"Critical System Messages","Kritične sistemske prouke"
"Major System Messages","Važne sistemske poruke"
"System messages","Sistemske poruke"
Close,Zatvori
"See All (","Pogledaj Sve ("
" unread)",nepročitane)
"Show Toolbar","Prikaži traku sa alatkama"
"Show List","Prikaži listu"
"Use HTTPS to Get Feed","Koristite HTTPS se Get Feed"
"Update Frequency","Ažuriraj učestalost"
"Last Update","Poslednja promena"
Severity,Ozbiljnost
"Date Added","Datum Dodavanja"
Message,Poruka
Actions,Radnje
"Close popup","Ugasite popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Pregledali ste i rešili sve nedavne sistemske notifikacije. Osvežite web stranicu da biste očistili obaveštenje."
"Manage Shopping Cart","Ažuriranje korpe sa artiklima"
"Create Order","Kreiranje narudžbine"
Back,Nazad
"Add Products","Dodaj proizvode"
"Update Items and Quantities","Ažuriranje stavki i količine"
"Are you sure you want to clear your cart?","Da li ste sigurni da želite da ispraznite korpu?"
"Clear my shopping cart","Isprazni korpu"
"Add selections to my cart","Dodaj izabrano u korpu"
Cancel,Odustani
"Shopping Cart for %1 in %2","Kolica za kupovinu %1 u %2"
"Select products you want to buy","Izaberite proizvode koje želite kupiti"
Product,Proizvod
Price,Cena
Quantity,Količina
"Products in the Comparison List (%1)","Proizvodi na listi za poređenje (%1)"
"Last ordered items (%1)","Poslednji poručeni artikli (%1)"
Products,Proizvodi
SKU,Šifra
"Recently Compared Products (%1)","Nedavno upoređeni proizvodi (%1)"
"Recently Viewed Products (%1)","Nedavno pregledani proizvodi (%1)"
"Add to Shopping Cart by SKU","Dodaj u korpu za kupovinu prema šifri"
"Add to Shopping Cart","Dodaj u korpu"
"Wish List (%1)","Lista želja (%1)"
Apply,Primeni
Configure,Podesi
"Add to Order by SKU","Dodaj u narudžbu po šifri"
"Add to Order","Dodaj u narudžbu"
"Add Products to Order","Dodavanje proizvoda u narudžbu"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> proizvod(i) zahtevaju vašu paznju.</span>"
"Remove All","Ukloni sve"
"Only %1%2%3 left in stock","Samo %1%2%3 je ostalo na lageru"
"You can buy up to %1 of these per purchase.","Možete kupiti do %1 od ovih po narudžbi."
"You must buy at least %1 of these per purchase.","Možete kupiti najmanje %1 od ovih po narudžbi."
"Specify the product's options.","Navedite opcije proizvoda."
"Alert me when this item is available.","Upozori me kada ova stavka postane dostupna."
"We can't find this customer.","Ne možemo pronaći ovog korisnika."
"Shopping cart management is disabled for this customer.","Upravljanje kolicima za kupovinu je onemogućena za ovog kupca."
"We can't find this store.","Ne možemo pronaći ovu prodavnicu."
Customers,Kupci
"Shopping Cart",Korpa
"Sorry, something went wrong. You can find out more in the error log.","Izvini, nešto krenulo naopako. Više o grešci možete pronaći u evidenciji grešaka."
"You do not have access to this.","Nemate pristup."
"Ordered item id is not received.","Id poručenog artikla nije primljen."
"Ordered item is not loaded.","Id poručenog artikla nije učitan."
"Quote item id is not received.","Id artikla za ponudu nije primljen."
"Quote item is not loaded.","Id poručenog artikla nije učitan."
"The wish list item id is not received.","Id artikla iz liste želja nije primljen."
"The wish list item is not loaded.","Id artikla iz liste želja nije učitan."
"An error has occurred. See error log for details.","Došlo je do greške. Pogledajte evidenciju grešaka za više detalja."
"You cannot configure a product.","Nije moguće konfigurisati proizvod."
"You removed the items.","Vi ste uklonili stavke."
"You removed the item.","Vi ste uklonili stavku."
"You added %1 to your shopping cart.","Uspešno ste dodali %1 u vašu korpu."
"You cannot add a product.","Nije moguće dodati proizvod."
"Order by SKU","Narudžba po šifri"
"The SKU was not found in the catalog.","Šifra nije pronađena u katalogu."
"Availability: Out of stock.","Dostupnost: trenutno nema na stanju."
"We don't have as many of these as you want.","Nemamo toliko ovoga koliko zahtevate."
"You can't add this many to your cart.","Ne možete dodati ovoliko puno u vašu korpu."
"You need to choose options for your item.","Potrebno je da odaberete opcije za vaš stavku."
"We can't add the item to your cart.","Ne možemo dodati artikal u korpu."
"Please enter an actual number in the ""Qty"" field.","Unesite jedan broj u polju „Kol”."
"This product is assigned to another website.","Ovaj proizvod je dodeljen drugoj Web lokaciji."
"You can add only enabled products.","Možete dodati samo raspoložive proizvode."
"You cannot upload this file.","Ne možete da pošaljete ovu datoteku."
"The file is empty.","Datoteka je prazna."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Niste uneli šifru proizvoda. Molim <a href=""%1"">kliknite ovde</a> da biste dodali proizvod(e) šifri."
"You have not entered a product SKU.","Niste uneli šifru proizvoda."
"We can't add a product to cart by id ""%1"".","Ne možemo da dodamo proizvod u korpu po Id „%1”."
"Something went wrong while reordering this product.","Došlo je do greške kod presortiranja ovog proizvoda."
"We can't find this wish list.","Ne možemo da ažuriramo listu želja."
"You added %1 product to your shopping cart.","Dodali ste %1 proizvod u vašu korpu za kupovinu."
"You added %1 products to your shopping cart.","Dodali ste %1 proizvode u vašu korpu za kupovinu."
"%1 product requires your attention.","%1 proizvod zahteva vašu paznju."
"%1 products require your attention.","%1 proizvodi zahtevaju vašu paznju."
"Yes, for Specified Customer Groups","Da, za navedenu grupu kupaca"
"Yes, for Everyone","Da, za sve"
No,Ne
"The file is corrupt.","Datoteka je oštećena."
"Please upload the file in .csv format.","Molimo vas da pošaljete datoteku u .csv formatu."
"%1 item(s) need your attention.","%1 stavka(e) traže da obratite pažnju."
"Apply Coupon Code","Primeni kod kupona"
"Remove Coupon Code","Uklonite kod kupona"
"The coupon code ""%1"" is not valid.","Kupon kod „%1” nije važeći."
"Shopping Cart Items","Artikli u kolicima za kupovinu"
Qty,Kol
Subtotal,Međuzbir
Discount,Popust
"Row Subtotal","Red međuzbira"
Action,Akcija
"No ordered items","Nema porućenih artikala"
"Total %1 product(s)","Ukupno %1 proizvod(a)"
Subtotal:,Međuzbir:
"Please select",Izaberite
"Move to Wish List","Prebaci u listu želja"
"No item specified.","Nema označenih stavki."
"Are you sure you want to remove this item?","Jeste li sigurni da želite da uklonite ovaj artikal?"
"SKU number",Šifra
"Upload File","Pošalji datoteku"
"Your csv file must include ""sku"" and ""qty"" columns.","Vaša csv datoteka mora da sadrži kolone ""sku"" i ""qty""."
"Only <span id=""%1_max_allowed"">%2</span> in stock","Samo <span id=""%1_max_allowed"">,%2</span> na lageru"
Item,Artikal
"See price before order confirmation.","Proveri cenu pre potvrde naruđbine."
"What's this?","Što je ovo?"
"Incl. Tax","Iznos sa PDV"
"Excl. Tax","Bez poreza"
"Edit item parameters","Uređivanje parametara artikala"
Edit,Izmeni
"Remove item","Ukloni stavku"
"Products Requiring Attention","Proizvodi koji zahtevaju paznju"
"Add to Cart","Dodaj u korpu"
Sku,Šifra
File,Datoteka
"File extensions allowed: .csv","Dozvoljena ekstenzija datoteke je: .csv"
"Add Row","Dodaj red"
"Remove Row","Uklani red"
"Add Products By SKU","Dodaj proizvode po šifri"
"Shopping Cart Management","Kupovina kolica za upravljanje"
"View Shopping Cart","Otvori Korpu"
"View and modify Shopping Cart","Otvori i izmeni korpu"
"Order by SKU Settings","Podešavanje narudžbe po šifri"
"Enable Order by SKU on My Account in Storefront","Omogući porudžbinu po šifri za moj nalog u izlogu"
"Customer Groups","Grupe kupaca"
"Apply Coupon","Primeni Kupon"
"Order by SKU Description","Porudžbina po opisu šifre"
"Display a Link to Loading a Spreadsheet","Prikazivanje veze za učitavanje xls tabele"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definiše da li će veza za Moj nalog &gt; Porudžbina po šifri će biti prikazani na na vidžetu"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","Link za moj nalog &gt; Porudžbina po šifri"
"Load a list of SKUs","Učitavanje liste šifri"
"Order by SKU Template","Šablon porudžbina po šifri"
"SKU not found in catalog.","SKU nije pronađen u katalogu."
"This file needs to be in .csv format.","Fajl mora biti u .csv formatu."
"This customer couldn't be found. Verify the customer and try again.","Ovaj korisnik nije pronađen. Provari korisnika i polušaj ponovo."
"This store couldn't be found. Verify the store and try again.","Ova prodavnica nije pronađena. Proveri prodavnicu i pokušaj ponovo."
"An error occurred. For details, see the error log.","Došlo je do greške. Za detalje, proverite log."
"The ordered item needs to be loaded. Load the item and try again.","Poručen artikal mora biti učitan. Učitaj artikal i pokušaj ponovo."
"The quote item ID needs to be received. Set the ID and try again.","Navod artikal ID mora biti primljen. Postavi ID i pokušaj ponovo."
"The quote item needs to be loaded. Load the item and try again.","Navod artikal Id mora biti primljen. Učitaj artikal i pokušaj ponovo."
"The wish list item ID needs to be received. Set the ID and try again.","Lista želja artikla mora biti primljena. Postavi i pokušaj ponovo."
"The wish list item needs to be loaded. Load the item and try again.","Artikal sa liste želja mora biti učitan. Učitaj artikal i pokušaj ponovo."
"The file is corrupt and can't be used.","Fajl je korumporan i ne može da se koristi."
"Please correct the data sent.","Ispravite poslate podatke."
"Entity type model '%1' is not found","Model tipa entitet '%1' nije pronađen"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Model za tip entiteta mora biti instanca \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Nema dostupnih tipova proizvoda za izvoz"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klasa ne implementira \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Pravilo prodaje"
"Index sales rule","Indeks pravila prodaje"
"Related Search Terms","Srodni termini za pretragu"
"Add New Search Term","Dodaj novi termin za pretragu"
button_label,"oznaka dugmeta"
"Missing search engine parameter.","Nedostaje argument za pretraživanje."
"Successful! Test again?","Uspešno! Želite ponovno testiranje?"
"Connection failed! Test again?","Povezivanje nije uspelo! Želite da ponovite testiranje?"
"Enable Search Recommendations","Omogući pretragu preporuka"
"When you enable this option your site may slow down.","Kada omogućite ovu opciju, vaše lokacije može usporiti."
"Search Recommendations Count","Pretraži broj preporuka"
"Show Results Count for Each Recommendation","Prikaži rezultate Broj za svaku preporuku"
"Enable Search Suggestions","Omogući pretragu predloga"
"Search Suggestions Count","Traži broj predloga"
"Show Results Count for Each Suggestion","Prikaži broj rezultata za svaki predlog"
"Related search terms","Srodni termini za pretragu"
"Did you mean","Da li ste mislili"
"Search Query","Upit za pretragu"
Store,Prodavnica
Results,Rezultati
Uses,Upotrebljeno
"Redirect URL","Preusmjeravanje URL"
"Suggested Term","Predloženi termin"
Yes,Da
"RPC call failed, connection timed out after %time_out.","RPC poziv nije uspeo, veza je istekla nakon %time_out."
"Message has been rejected: %1","Poruka je odbijena: %1"
"Error while checking if topic is synchronous","Greška pri proveravi da li je tema sinhronizovana"
"Subscription status","Status pretplate"
"Sorry, there has been an error processing your request. Please try again later.","Izvinite, dogodila se greška pri obradi vašeg zahteva. Pokušajte ponovo kasnije."
"Time value has an unsupported format","Vrednost za vreme nije pravilno napisana"
"Cron settings can't be saved","Podešavanje Kron-a ne može biti sačuvano"
"There was an error save new configuration value.","Došlo je do greške pri snimanju novih konfiguracionih vrednosti."
"Please select a vertical.","Molimo izabrati uspravno."
"--Please Select--","--- Molimo odaberite ---"
"Command was not found.","Komanda nije pronađena."
"Input data must be string or convertible into string.","Ulazni podatak mora biti znak ili podatak koji se može pretvoriti u znak."
"Input data must be non-empty string.","Ulazni podatak ne sme biti prazan niz znakova."
"Not valid cipher method.","Neispravna metoda za šifriranje."
"Encryption key can't be empty.","Ključ za šifriranje ne može biti prazan."
"Source ""%1"" is not exist","Ulazni podatak ""%1"" ne postoji"
"These arguments can't be empty ""%1""","Ovi argumenti ne mogu biti prazni ""%1"""
"Cannot find predefined integration user!","Nije moguće pronaći korisnički definisane integracije!"
"File is not ready yet.","Datoteka još uvek nije spremna."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Tvoj osnovni URL je promenjen i izvještaji se ažuriraju. Više opcija za izveštavanje biće na raspolaganju kada ova promena bude obrađena. Pokušajte ponovo kasnije."
"Failed to synchronize data to the Magento Business Intelligence service. ","Greška u sinhronizaciji podataka sa Magento poslovnim servisom inteligencije. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Pokušaj ponovo sinhronizaciju</a>"
TestMessage,"Test poruka"
"Apps and Games","Aplikacije i igre"
"Athletic/Sporting Goods","Sportski/sportske opreme"
"Art and Design","Umetnost i dizajn"
"Advanced Reporting","Napredna podešavanja"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Nov pogled na stvari i preuzimanje komande nad performansama vašeg poslovanja, koristeći dinamičke proizvode, narudžbe i izveštaj o kupcima prilagodene vašim potrebama."
"Go to Advanced Reporting","Idi na napredne opcije za izveštavanje"
Analytics,Analitika
Configuration,Konfiguracija
"Business Intelligence","Poslovna inteligencija"
"BI Essentials","BI osnove"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ova usluga pruža dinamičan programski paket izveštavanja sa bogatim zapažanjem o vašem poslovanju.                 
                Izveštaju se može pristupiti sigurno preko personalizovane stranice izvan admin panel tako što ćete kliknuti na vezu 
                „Idi da više opcija za izveštavanje”. </br> Za više informacija, pogledajte naše <a href=""https://magento.com/legal/terms/cloud-terms""> termine i uslove.</a>."
"Advanced Reporting Service","Napredna usluga izveštavanja"
"Time of day to send data","Doba dana za slanje podataka"
Industry,Industrija
"In order to personalize your Advanced Reporting experience, please select your industry.","Molim da podesite vašu granu industrije u meniju Napredna izveštavanja, kako bi ste dobili bolje izveštaje."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Dobijte više saznanja iz Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vam pruža jednostavan i jasan put kako da
                dobijete više podataka za upravljanje.</br> Saznajte više o <a target=""_blank""
                href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Osnove</a> sloj."
"Auto Parts","Auto delovi"
"Baby/Children’s Apparel, Gear and Toys","Odece beba/za decu, opremu i igračke"
"Beauty and Cosmetics","Lepota i kozmetika"
"Books, Music and Magazines","Knjige, muzika i časopisi"
"Crafts and Stationery","Zanati i podloge za pisanje"
"Consumer Electronics","Potrošačke elektronike"
"Deal Site","Lokacija za dogovor"
"Fashion Apparel and Accessories","Modni detalji, odeća i pribor"
"Food, Beverage and Grocery","Hrane, pića i namirnice"
"Home Goods and Furniture","Oprema za kuću i nameštaj"
"Home Improvement","Renoviranje stana"
"Jewelry and Watches","Nakit i satovi"
"Mass Merchant",Veleprodaja
"Office Supplies","Kancelarijski nameštaj"
"Outdoor and Camping Gear","Oprema za kampovanje na otvorenom prostoru"
"Pet Goods","Oprema za ljubimce"
"Pharma and Medical Devices","Farmacija i medicinski uređaji"
"Technology B2B","B2B tehnologije"
Other,Ostalo
"The time value is using an unsupported format. Enter a supported format and try again.","Vrednost vremena koristi nepodržan format. Unesite podržani format i pokušajte ponovo."
"Please select an industry.","Odaberite državu."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Podaci su nevažeći. Unesite opdatke za string ili podatke kori se mogu prevesti u string i pokušajte ponovo."
"The data is invalid. Enter the data as a string and try again.","Podaci su nevažeći. Unesite podatke kao string i pokušajte ponovo."
"The data is invalid. Use a valid cipher method and try again.","Podaci su nevažeći. Koristite važeći šifrant i pokušajte ponovo."
"Enter the encryption key and try again.","Unesit ključ za enkripciju i pokušajte ponovo."
"The ""%1"" source doesn't exist.","""%1"" izvor ne postoji."
"Retry Synchronization","Pokušaj ponovo Sinhronizaciju"
Done,Gotovo
Retry,"Pokušaj ponovo"
"'Action Details - #' .","'Pogledaj detalje - #' ."
"%1 item(s) have been scheduled for update.""","%1 stavka(e) su planirane za ažuriranje”"
"Bulk Actions Log","Evidencija masovnih radnji"
"Bulk uuid %bulkUuid not exist","Grupni uuid %bulkUuid ne postoji"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Došlo je do greške prilikom obrade zahteva."
"Error processing %key element of input data","Procesuiranje greške %key element unešenih podataka"
"Sorry, something went wrong during product prices update. Please see log for details.","Došlo je do greške prilikom ažuriranja cena proizvoda. Molimo vas koristie log za detalje."
"%1 item(s) are currently being updated.","%1 stavka(i) se trenutno ažurira."
"Task ""%1"": ","Zadatak „%1”: "
"%1 item(s) have been scheduled for update.","%1 stavka(e) su planirane za ažuriranje”."
"%1 item(s) have been successfully updated.","%1 stavka(e) su planirane za ažuriranje”."
"%1 item(s) failed to update","%1 stavka(i) se nije uspelo ažurirati"
Details,Detalji
"View Details","Pogledaj detalje"
Dismiss,Odbaci
"Pending, in queue...","Neobrađeno, u redu čekanja..."
"%1 items selected for mass update","%1 stavki je odabrano za masovno ažuriranje"
", %1 successfully updated",", %1 je uspešno ažurirano"
", %1 failed to update",", %1 se nije uspelo ažurirati"
"Something went wrong.","Nešto krenulo naopako."
"Action Log","Dnevnik radnji"
Report,Prijavi
"Bulk Actions","Masovne radnje"
"Action Logs","Dnevnik Radnji"
"Days Saved in Log","Dani sačuvani u dnevniku"
"Description of Operation","Opis operacije"
Summary,Rezime
"Start Time","Vreme početka"
"Items to Retry","Stavke za ponovni pokušaj"
"To retry, select the items and click “Retry”.","Da biste ponovo pokušali, izaberite stavke i kliknite na dugme „Pokušaj ponovo”."
"Items That Can’t Be Updated.","Stavke koje nije moguće ažurirati."
"Meta Information","Meta informacije"
Error,Greška
"Dismiss All Completed Tasks","Odbaci sve dovršene zadatke"
"Action Details - #","Detalji radnje- #"
"Number of Records Affected","Broj zapisa koji je uticao na"
"We can't find the role for the user you wanted.","Ne možemo pronaći ulogu za traženog korisnika."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Nešto je krenulo naopako za vreme sastavljanja liste dozvoljenih resursa. Više o greškama možete pogledati u evidenciji greški."
"The role wasn't found for the user. Verify the role and try again.","Uloga za korisnika nije pronađena. Proverite ulogu i pokušajte ponovo."
"You created the order.","Vi ste kreirali narudžbinu."
"Order saving error: %1","Redosled čuvanja greške: %1"
"Please choose a payment method.","Odaberite način plaćanja."
"We can't process your order right now. Please try again later.","Ne možemo obraditi vašu porudžbinu sada. Pokušajte kasnije."
"An error occurred on the server. Please try to place the order again.","Došlo je do greške na serveru. Pokušajte da ponovo pošaljete porudžbinu."
"Credit Card: xxxx-%1","Kreditna kartica: xxxx-%1"
"amount %1","iznos %1"
failed.,"nije uspelo."
successful.,uspešno.
"Authorize.Net Transaction ID %1.","Authorize.Net transakcija ID %1."
authorize,ovlašćen
"authorize and capture","ovlašćen i prihvaćen"
capture,prihvati
refund,"povraćaj novca"
void,poništi
"Gateway error: %1","Greška u prolazu: %1"
"Something went wrong in the payment gateway.","Došlo je do greške pri prolasku plaćanja."
"Invalid amount for capture.","Neispravna vrednost za prihvaćanje."
"Payment capturing error.","Greška pri prihvatanju plaćanja."
"Invalid transaction ID.","Neispravan ID transakcije."
"Payment voiding error.","Greška kod poništavanja plaćanja."
"Invalid amount for refund.","Neispravna vrednost za povraćaj novca."
"Payment refunding error.","Greška kod povraćaja novca."
"The transaction was declined because the response hash validation failed.","Transakcija je odbijena jer nije prošla proveru podataka."
"This payment didn't work out because we can't find this order.","Ovo plaćanje nije uspelo jer ne možemo pronaći porudžbinu."
"There was a payment authorization error.","Došlo je do greške pri autorizaciji plaćanja."
"Please enter a transaction ID to authorize this payment.","Molim uneti ID transakcije za autorizaciju ovog plaćanja."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Došlo je do greške: plaćeni iznos ne odgovara iznosu porudžbine. Ispravite ovo i pokuušajte ponovo."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcija %1 je odobrena. Vrednost %2. Status transakcije je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcija %1 je odbijena/poništena. Status transakcije je ""%2"". Vrednost je %3."
"Authorize Only","Samo odobriti"
"Authorize and Capture","Odobriti i prihvatiti"
"Unable to get transaction details. Try again later.","Nije moguće dobiti detalje o transakciji. Pokuštajte ponovo kasnije."
"Electronic payments save the trees.","Elektronsko plaćanje ćuva drveće."
"Credit Card Type","Vrsta kreditne kartice"
"Please Select","Molim odaberite"
"Credit Card Number","Broj kreditne kartice"
"Expiration Date","Datum isteka"
"Card Verification Number","Verifikacioni broj kartice"
"Fraud Detection ","Uočena prevara "
"FDS Filter Action","FDS Filter akcije"
"AVS Response","AVS odgovor"
"Card Code Response","Odgovor na kod kartice"
"CAVV Response","CAVV odgovor"
"Fraud Filters","Filteri prevare"
"Place Order","Postavite porudžbinu"
"Sorry, but something went wrong. Please contact the seller.","Žao nam je, ali nešto je krenulo pogrešno. Molim kontaktirati prodavca."
"Authorize.net Direct Post","Authorize.net Direktna pošta"
Enabled,Omogućeno
"Payment Action","Akcija plaćanja"
Title,Naslov
"API Login ID","API ID za prijavu"
"Transaction Key","Ključ transakcije"
"Merchant MD5","MD5 prodavca"
"New Order Status","Novi status porudžbine"
"Test Mode","Režim testa"
"Gateway URL","URL adresa mrežnog prolaza"
"Transaction Details URL","Detalji transakcije URL adrese"
"Accepted Currency","Prihvaćene valute"
Debug,"Otklanjanje grešaka"
"Email Customer","E-pošte kupca"
"Merchant's Email","E-mail trgovca"
"Credit Card Types","Vrsta kreditne kartice"
"Credit Card Verification","Verifikacija kreditne kartice"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Minimum Order Total","Minimalna vrednost porudžbine"
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Sort Order","Redosled porudžbina"
"Cannot place order.","Nije moguće postaviti porudžbinu."
"'Gateway error: ' .","Gateway greška: ' ."
"Unable to place order. Please try again later.","Nije moguće postaviti narudžbinu. Pokušajte ponovo kasnije."
"A server error stopped your order from being placed. Please try to place your order again.","Greška na serveru je zaustavila porudžbinu. Pokušajte da postavite vaše ponude ponovo."
"The transaction details are unavailable. Please try again later.","Detalji transakcije nisu dostupni. Pokušajte kasnije."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direktan Post (Deprecated)"
"Signature Key","Ključ eidget"
"There was an error while trying to process the request.","Došlo je do greške tokom pokušaja da se procesuira zahtev."
